entity_1,relationship,entity_2
Atiya Khouri,Providing support to,Syriatel
Imad Mtanyus Khuri,Providing support to,Mudalal Khuri
Aous Ali,Acting for or on behalf of,Rami Makhluf
Moneta Transfer And Exchange,Owned or Controlled By,Atiya Khouri
Moneta Transfer And Exchange,Providing support to,Rami Makhluf
Moneta Transfer And Exchange,Providing support to,Adib Mayaleh
Moneta Transfer And Exchange,Providing support to,Syriatel
E.K.-Ultra Financial Group Limited,Owned or Controlled By,Nicos Nicolaou
Argus Construction,Providing support to,Wael Abdulkarim
Jonha Lang,Acting for or on behalf of,Ltd T-Rubber Co.
Salah Habib,Acting for or on behalf of,Yona Star International
Blue Energy Trade Ltd. Co.,Owned or Controlled By,Milenyum Energy S.A.
Ibrahim Aqil,playing a significant role in,Hizballah
Fu'Ad Shukr,playing a significant role in,Hizballah
Ebla Trade Services S.A.L./Off-Shore,Acting for or on behalf of,Blue Energy Trade Ltd. Co.
Ebla Trade Services S.A.L./Off-Shore,Acting for or on behalf of,Milenyum Energy S.A.
Ufuk Kenar,Acting for or on behalf of,Milenyum Energy S.A.
Serkan Duzgoren,Acting for or on behalf of,Milenyum Energy S.A.
Erkan Duzgoren,Acting for or on behalf of,Milenyum Energy S.A.
Mustafa Aydin,Acting for or on behalf of,Abdulkarim Group
Mustafa Aydin,Acting for or on behalf of,Blue Energy Trade Ltd. Co.
Mustafa Aydin,Acting for or on behalf of,Milenyum Energy S.A.
Green Shipping Ltd.,Owned or Controlled By,Milenyum Energy S.A.
Aqua Shipping Ltd.,Owned or Controlled By,Milenyum Energy S.A.
Milenyum Energy S.A.,Providing support to,Abdulkarim Group
Milenyum Energy S.A.,Providing support to,Wael Abdulkarim
Mudalal Khuri,Acting for or on behalf of,Adib Mayaleh
Mudalal Khuri,Acting for or on behalf of,Batoul Rida
Kirsan Nikolayevich Ilyumzhinov,Acting for or on behalf of,Adib Mayaleh
Kirsan Nikolayevich Ilyumzhinov,Acting for or on behalf of,Batoul Rida
Nicos Nicolaou,Acting for or on behalf of,Mudalal Khuri
Nicos Nicolaou,Acting for or on behalf of,Piruseti Enterprises Ltd
Primax Business Consultants Limited,Acting for or on behalf of,Mudalal Khuri
Primax Business Consultants Limited,Acting for or on behalf of,Nicos Nicolaou
Ezegoo Investments Ltd,Owned or Controlled By,Mudalal Khuri
Ezegoo Investments Ltd,Owned or Controlled By,Nicos Nicolaou
Ezegoo Investments Ltd,Owned or Controlled By,Primax Business Consultants Limited
Kremsont Commercial Inc.,Owned or Controlled By,Mudalal Khuri
Russian Financial Alliance Bank,Owned or Controlled By,Kirsan Nikolayevich Ilyumzhinov
Russian Financial Alliance Bank,Owned or Controlled By,Mudalal Khuri
Hesco Engineering & Construction Co,Owned or Controlled By,George Haswani
Hudsotrade Limited,Owned or Controlled By,Mudalal Khuri
Hudsotrade Limited,Owned or Controlled By,Nicos Nicolaou
Hudsotrade Limited,Owned or Controlled By,Primax Business Consultants Limited
Suhayl Hasan Al-Hasan,Leader or official of,Syrian Air Force Intelligence
Muhammad Nafi Bilal,Leader or official of,Syrian Air Force Intelligence
Yasin Ahmad Dahi,Leader or official of,Syrian Military Intelligence Directorate
Al-Hisn,Owned or Controlled By,Rami Makhluf
Al-Qasiun,Owned or Controlled By,Rami Makhluf
Adib Muhanna,Providing support to,Rami Makhluf
Elena Apanasenko,Acting for or on behalf of,Tempbank
Nikolay Akhlomov,Acting for or on behalf of,Tempbank
Irina Kozhenkova,Acting for or on behalf of,Tempbank
Andrey Dubinyak,Acting for or on behalf of,Tempbank
Elena Zhirova,Acting for or on behalf of,Tempbank
Dmitriy Mityaev,Acting for or on behalf of,Tempbank
Leonid Reshetnikov,Acting for or on behalf of,Tempbank
Syriss,Providing support to,Yona Star International
Cham Wings Airlines,Providing support to,Syrian Arab Airlines
Muhammad Ibrahim,Leader or official of,Syrian Air Force
Vladimir Gagloev,Acting for or on behalf of,Tempbank
Muhammad Mahmud Mahalla,Leader or official of,Syrian Military Intelligence Directorate
Muhammad Khalid Rahmun,Leader or official of,Political Security Directorate
Talal Shafiq Makhluf,Leader or official of,Syrian Arab Republican Guard
Saji Jamil Darwish,Leader or official of,Syrian Air Force
